bowler,season_year,bowling_team,matches,total_wickets,total_runs,total_balls,overs,economy,bowling_avg,bowling_sr
M Markande,2024,Sunrisers Hyderabad,7,8,259,132,22.0,11.77,32.38,16.5
M Morkel,2011,Delhi Daredevils,11,13,325,258,43.0,7.56,25.0,19.85
M Morkel,2012,Delhi Daredevils,16,25,453,378,63.0,7.19,18.12,15.12
M Morkel,2013,Delhi Daredevils,10,7,335,240,40.0,8.38,47.86,34.29
M Morkel,2014,Kolkata Knight Riders,12,12,367,288,48.0,7.65,30.58,24.0
M Morkel,2015,Kolkata Knight Riders,7,10,206,168,28.0,7.36,20.6,16.8
M Morkel,2016,Kolkata Knight Riders,10,10,297,213,35.5,8.37,29.7,21.3
M Muralitharan,2007,Chennai Super Kings,15,11,404,348,58.0,6.97,36.73,31.64
M Muralitharan,2009,Chennai Super Kings,25,30,600,592,98.7,6.08,20.0,19.73
M Muralitharan,2012,Royal Challengers Bangalore,10,15,260,240,40.0,6.5,17.33,16.0
M Muralitharan,2013,Royal Challengers Bangalore,6,3,177,138,23.0,7.7,59.0,46.0
M Ntini,2007,Chennai Super Kings,9,7,242,210,35.0,6.91,34.57,30.0
M Pathirana,2023,Chennai Super Kings,12,19,371,278,46.3,8.01,19.53,14.63
M Pathirana,2024,Chennai Super Kings,6,13,169,132,22.0,7.68,13.0,10.15
M Pathirana,2025,Chennai Super Kings,12,13,424,251,41.8,10.14,32.62,19.31
M Prasidh Krishna,2018,Kolkata Knight Riders,7,10,260,168,28.0,9.29,26.0,16.8
M Prasidh Krishna,2019,Kolkata Knight Riders,11,5,387,248,41.3,9.37,77.4,49.6
M Prasidh Krishna,2021,Kolkata Knight Riders,10,12,351,231,38.5,9.12,29.25,19.25
M Prasidh Krishna,2022,Rajasthan Royals,17,19,551,399,66.5,8.29,29.0,21.0
M Prasidh Krishna,2025,Gujarat Titans,15,25,488,354,59.0,8.27,19.52,14.16
M Theekshana,2022,Chennai Super Kings,9,12,261,210,35.0,7.46,21.75,17.5
M Theekshana,2023,Chennai Super Kings,13,11,392,294,49.0,8.0,35.64,26.73
M Theekshana,2024,Chennai Super Kings,5,2,144,120,20.0,7.2,72.0,60.0
M Theekshana,2025,Rajasthan Royals,11,11,410,252,42.0,9.76,37.27,22.91
MA Starc,2014,Royal Challengers Bangalore,14,14,402,322,53.7,7.49,28.71,23.0
MA Starc,2015,Royal Challengers Bangalore,12,20,291,258,43.0,6.77,14.55,12.9
MA Starc,2024,Kolkata Knight Riders,13,17,444,251,41.8,10.62,26.12,14.76
MA Starc,2025,Delhi Capitals,11,14,400,233,38.8,10.31,28.57,16.64
MC Henriques,2013,Royal Challengers Bangalore,8,7,185,127,21.2,8.73,26.43,18.14
MC Henriques,2015,Sunrisers Hyderabad,9,11,158,150,25.0,6.32,14.36,13.64
MC Henriques,2016,Sunrisers Hyderabad,17,12,415,312,52.0,7.98,34.58,26.0
MC Henriques,2017,Sunrisers Hyderabad,12,1,248,144,24.0,10.33,248.0,144.0
MF Maharoof,2007,Delhi Daredevils,10,15,249,216,36.0,6.92,16.6,14.4
MF Maharoof,2009,Delhi Daredevils,10,12,271,204,34.0,7.97,22.58,17.0
MG Johnson,2013,Mumbai Indians,17,24,459,384,64.0,7.17,19.12,16.0
MG Johnson,2014,Kings XI Punjab,14,17,444,321,53.5,8.3,26.12,18.88
MG Johnson,2015,Kings XI Punjab,9,10,342,218,36.3,9.42,34.2,21.8
MG Johnson,2017,Mumbai Indians,5,7,141,120,20.0,7.05,20.14,17.14
MG Johnson,2018,Kolkata Knight Riders,6,2,216,126,21.0,10.29,108.0,63.0
MJ McClenaghan,2015,Mumbai Indians,12,18,386,282,47.0,8.21,21.44,15.67
MJ McClenaghan,2016,Mumbai Indians,14,17,436,320,53.3,8.18,25.65,18.82
MJ McClenaghan,2017,Mumbai Indians,14,19,507,324,54.0,9.39,26.68,17.05
MJ McClenaghan,2018,Mumbai Indians,11,14,332,240,40.0,8.3,23.71,17.14
MJ Santner,2025,Mumbai Indians,13,10,313,237,39.5,7.92,31.3,23.7
MM Ali,2019,Royal Challengers Bangalore,9,6,169,150,25.0,6.76,28.17,25.0
MM Ali,2021,Chennai Super Kings,10,6,161,152,25.3,6.36,26.83,25.33
MM Ali,2022,Chennai Super Kings,10,8,158,143,23.8,6.64,19.75,17.88
MM Ali,2023,Chennai Super Kings,11,9,195,156,26.0,7.5,21.67,17.33
MM Patel,2007,Rajasthan Royals,15,14,420,330,55.0,7.64,30.0,23.57
MM Patel,2009,Rajasthan Royals,15,19,359,287,47.8,7.51,18.89,15.11
MM Patel,2011,Mumbai Indians,15,22,358,326,54.3,6.59,16.27,14.82
MM Patel,2012,Mumbai Indians,12,15,367,280,46.7,7.86,24.47,18.67
MM Sharma,2013,Chennai Super Kings,15,20,326,304,50.7,6.43,16.3,15.2
MM Sharma,2014,Chennai Super Kings,16,23,452,323,53.8,8.4,19.65,14.04
MM Sharma,2015,Chennai Super Kings,16,14,481,342,57.0,8.44,34.36,24.43
MM Sharma,2016,Kings XI Punjab,14,13,407,291,48.5,8.39,31.31,22.38
