batter,season_year,batting_team,matches,total_runs,total_balls,highest_score,fifties,hundreds,ducks,innings,batting_avg,strike_rate
R Dhawan,2016,Kings XI Punjab,2,14,6,11,0,0,0,2,7.0,233.33
R Dhawan,2022,Punjab Kings,4,37,40,21,0,0,0,4,9.25,92.5
R Dhawan,2023,Punjab Kings,2,20,12,19,0,0,0,2,10.0,166.67
R Dravid,2007,Royal Challengers Bangalore,14,371,298,75,2,0,2,14,26.5,124.5
R Dravid,2009,Royal Challengers Bangalore,23,527,433,66,2,0,1,23,22.91,121.71
R Dravid,2011,Rajasthan Royals,12,343,314,66,1,0,0,12,28.58,109.24
R Dravid,2012,Rajasthan Royals,16,462,412,58,2,0,0,16,28.88,112.14
R Dravid,2013,Rajasthan Royals,17,471,425,65,4,0,0,17,27.71,110.82
R McLaren,2009,Mumbai Indians,7,66,69,40,0,0,2,7,9.43,95.65
R McLaren,2011,Kings XI Punjab,4,90,96,51,1,0,0,4,22.5,93.75
R McLaren,2013,Kolkata Knight Riders,2,3,6,2,0,0,0,2,1.5,50.0
R Minz,2025,Mumbai Indians,2,6,15,3,0,0,0,2,3.0,40.0
R Ninan,2011,Royal Challengers Bangalore,1,3,6,3,0,0,0,1,3.0,50.0
R Parag,2019,Rajasthan Royals,5,160,126,50,1,0,0,5,32.0,126.98
R Parag,2020,Rajasthan Royals,8,86,77,42,0,0,2,8,10.75,111.69
R Parag,2021,Rajasthan Royals,10,93,83,25,0,0,1,10,9.3,112.05
R Parag,2022,Rajasthan Royals,14,183,132,56,1,0,1,14,13.07,138.64
R Parag,2023,Rajasthan Royals,7,78,66,20,0,0,0,7,11.14,118.18
R Parag,2024,Rajasthan Royals,14,573,384,84,4,0,0,14,40.93,149.22
R Parag,2025,Rajasthan Royals,14,397,238,95,1,0,0,14,28.36,166.81
R Powell,2022,Delhi Capitals,12,250,167,67,1,0,2,12,20.83,149.7
R Powell,2023,Delhi Capitals,3,7,9,4,0,0,0,3,2.33,77.78
R Powell,2024,Rajasthan Royals,7,103,68,27,0,0,0,7,14.71,151.47
R Powell,2025,Kolkata Knight Riders,1,5,5,5,0,0,0,1,5.0,100.0
R Rampaul,2013,Royal Challengers Bangalore,6,38,37,23,0,0,3,6,6.33,102.7
R Rampaul,2014,Royal Challengers Bangalore,1,13,13,13,0,0,0,1,13.0,100.0
R Ravindra,2024,Chennai Super Kings,10,222,138,61,1,0,1,10,22.2,160.87
R Ravindra,2025,Chennai Super Kings,8,191,149,65,1,0,1,8,23.88,128.19
R Sai Kishore,2024,Gujarat Titans,1,13,6,13,0,0,0,1,13.0,216.67
R Sai Kishore,2025,Gujarat Titans,3,5,10,3,0,0,0,3,1.67,50.0
R Sanjay Yadav,2022,Mumbai Indians,1,0,2,0,0,0,1,1,0.0,0.0
R Sathish,2009,Mumbai Indians,10,112,96,24,0,0,0,10,11.2,116.67
R Sathish,2011,Mumbai Indians,3,25,34,18,0,0,1,3,8.33,73.53
R Sathish,2013,Kings XI Punjab,8,109,77,27,0,0,1,8,13.62,141.56
R Sathish,2016,Kolkata Knight Riders,3,24,24,10,0,0,0,3,8.0,100.0
R Sharma,2009,Deccan Chargers,4,29,26,14,0,0,1,4,7.25,111.54
R Sharma,2011,Pune Warriors,5,24,21,13,0,0,2,5,4.8,114.29
R Sharma,2012,Pune Warriors,4,2,11,2,0,0,3,4,0.5,18.18
R Sharma,2013,Pune Warriors,6,11,17,10,0,0,4,6,1.83,64.71
R Shepherd,2022,Sunrisers Hyderabad,3,58,41,26,0,0,0,3,19.33,141.46
R Shepherd,2023,Lucknow Super Giants,1,0,1,0,0,0,1,1,0.0,0.0
