batter,season_year,batting_team,matches,total_runs,total_balls,highest_score,fifties,hundreds,ducks,innings,batting_avg,strike_rate
RS Sodhi,2009,Kings XI Punjab,1,4,2,4,0,0,0,1,4.0,200.0
RT Ponting,2007,Kolkata Knight Riders,4,39,53,20,0,0,2,4,9.75,73.58
RT Ponting,2013,Mumbai Indians,5,52,75,28,0,0,1,5,10.4,69.33
RV Gomez,2011,Kochi Tuskers Kerala,8,46,50,26,0,0,3,8,5.75,92.0
RV Gomez,2013,Pune Warriors,1,4,1,4,0,0,0,1,4.0,400.0
RV Patel,2021,Delhi Capitals,2,25,27,18,0,0,0,2,12.5,92.59
RV Patel,2022,Delhi Capitals,1,6,3,6,0,0,0,1,6.0,200.0
RV Patel,2023,Delhi Capitals,4,49,43,23,0,0,0,4,12.25,113.95
RV Uthappa,2007,Mumbai Indians,14,320,279,48,0,0,0,14,22.86,114.7
RV Uthappa,2009,Royal Challengers Bangalore,27,549,388,68,4,0,1,27,20.33,141.49
RV Uthappa,2011,Pune Warriors,13,264,209,45,0,0,1,13,20.31,126.32
RV Uthappa,2012,Pune Warriors,16,405,343,69,2,0,0,16,25.31,118.08
RV Uthappa,2013,Pune Warriors,16,434,371,75,2,0,1,16,27.12,116.98
RV Uthappa,2014,Kolkata Knight Riders,16,660,479,83,5,0,1,16,41.25,137.79
RV Uthappa,2015,Kolkata Knight Riders,13,364,277,80,1,0,0,13,28.0,131.41
RV Uthappa,2016,Kolkata Knight Riders,15,394,289,72,3,0,1,15,26.27,136.33
RV Uthappa,2017,Kolkata Knight Riders,13,388,235,87,5,0,1,13,29.85,165.11
RV Uthappa,2018,Kolkata Knight Riders,16,351,265,54,1,0,0,16,21.94,132.45
RV Uthappa,2019,Kolkata Knight Riders,11,284,247,67,1,0,1,11,25.82,114.98
RV Uthappa,2020,Rajasthan Royals,12,196,164,41,0,0,0,12,16.33,119.51
RV Uthappa,2021,Chennai Super Kings,4,115,84,63,1,0,0,4,28.75,136.9
RV Uthappa,2022,Chennai Super Kings,11,230,171,88,2,0,1,11,20.91,134.5
Rahmanullah Gurbaz,2023,Kolkata Knight Riders,11,227,170,81,2,0,2,11,20.64,133.53
Rahmanullah Gurbaz,2024,Kolkata Knight Riders,2,62,46,39,0,0,0,2,31.0,134.78
Rahmanullah Gurbaz,2025,Kolkata Knight Riders,5,74,53,35,0,0,0,5,14.8,139.62
Ramandeep Singh,2022,Mumbai Indians,4,45,40,14,0,0,0,4,11.25,112.5
Ramandeep Singh,2024,Kolkata Knight Riders,9,125,62,35,0,0,0,9,13.89,201.61
Ramandeep Singh,2025,Kolkata Knight Riders,7,47,35,22,0,0,1,7,6.71,134.29
Rashid Khan,2017,Sunrisers Hyderabad,3,11,9,6,0,0,0,3,3.67,122.22
Rashid Khan,2018,Sunrisers Hyderabad,7,59,31,34,0,0,2,7,8.43,190.32
Rashid Khan,2019,Sunrisers Hyderabad,7,34,23,17,0,0,3,7,4.86,147.83
Rashid Khan,2020,Sunrisers Hyderabad,6,35,30,14,0,0,1,6,5.83,116.67
Rashid Khan,2021,Sunrisers Hyderabad,10,83,69,22,0,0,3,10,8.3,120.29
Rashid Khan,2022,Gujarat Titans,8,91,44,40,0,0,4,8,11.38,206.82
Rashid Khan,2023,Gujarat Titans,9,130,60,79,1,0,2,9,14.44,216.67
Rashid Khan,2024,Gujarat Titans,8,102,71,31,0,0,1,8,12.75,143.66
Rashid Khan,2025,Gujarat Titans,8,40,28,12,0,0,2,8,5.0,142.86
Rasikh Salam,2019,Mumbai Indians,1,5,4,5,0,0,0,1,5.0,125.0
Rasikh Salam,2022,Kolkata Knight Riders,1,7,6,7,0,0,0,1,7.0,116.67
Rasikh Salam,2024,Delhi Capitals,4,28,30,10,0,0,0,4,7.0,93.33
Ravi Bishnoi,2020,Kings XI Punjab,2,7,12,6,0,0,0,2,3.5,58.33
Ravi Bishnoi,2021,Punjab Kings,1,1,4,1,0,0,0,1,1.0,25.0
Ravi Bishnoi,2022,Lucknow Super Giants,1,0,1,0,0,0,1,1,0.0,0.0
Ravi Bishnoi,2023,Lucknow Super Giants,7,20,27,5,0,0,1,7,2.86,74.07
Ravi Bishnoi,2024,Lucknow Super Giants,3,4,6,2,0,0,1,3,1.33,66.67
Ravi Bishnoi,2025,Lucknow Super Giants,2,13,16,13,0,0,1,2,6.5,81.25
S Anirudha,2007,Chennai Super Kings,1,1,7,1,0,0,0,1,1.0,14.29
S Anirudha,2009,Chennai Super Kings,2,30,18,24,0,0,0,2,15.0,166.67
S Anirudha,2011,Chennai Super Kings,5,83,74,64,1,0,1,5,16.6,112.16
S Anirudha,2012,Chennai Super Kings,2,19,7,18,0,0,0,2,9.5,271.43
S Anirudha,2013,Chennai Super Kings,1,0,2,0,0,0,1,1,0.0,0.0
S Anirudha,2014,Sunrisers Hyderabad,1,3,5,3,0,0,0,1,3.0,60.0
S Aravind,2011,Royal Challengers Bangalore,2,13,8,11,0,0,0,2,6.5,162.5
S Aravind,2012,Royal Challengers Bangalore,1,14,8,14,0,0,0,1,14.0,175.0
S Aravind,2015,Royal Challengers Bangalore,1,0,1,0,0,0,1,1,0.0,0.0
S Aravind,2017,Royal Challengers Bangalore,6,32,40,9,0,0,1,6,5.33,80.0
S Badree,2017,Royal Challengers Bangalore,5,13,23,8,0,0,2,5,2.6,56.52
S Badrinath,2007,Chennai Super Kings,11,192,130,64,2,0,1,11,17.45,147.69
S Badrinath,2009,Chennai Super Kings,26,533,467,59,3,0,2,26,20.5,114.13
S Badrinath,2011,Chennai Super Kings,12,396,313,71,5,0,1,12,33.0,126.52
S Badrinath,2012,Chennai Super Kings,9,196,181,57,1,0,0,9,21.78,108.29
S Badrinath,2013,Chennai Super Kings,7,124,121,34,0,0,2,7,17.71,102.48
S Chanderpaul,2007,Royal Challengers Bangalore,3,25,31,16,0,0,0,3,8.33,80.65
S Dhawan,2007,Delhi Daredevils,14,340,295,68,4,0,1,14,24.29,115.25
S Dhawan,2009,Mumbai Indians,14,231,215,56,2,0,1,14,16.5,107.44
S Dhawan,2011,Deccan Chargers,14,400,310,95,2,0,0,14,28.57,129.03
S Dhawan,2012,Deccan Chargers,15,569,439,84,5,0,0,15,37.93,129.61
S Dhawan,2013,Sunrisers Hyderabad,10,311,253,73,3,0,1,10,31.1,122.92
S Dhawan,2014,Sunrisers Hyderabad,14,377,319,64,2,0,0,14,26.93,118.18
S Dhawan,2015,Sunrisers Hyderabad,14,353,286,54,3,0,0,14,25.21,123.43
S Dhawan,2016,Sunrisers Hyderabad,17,501,429,82,4,0,1,17,29.47,116.78
S Dhawan,2017,Sunrisers Hyderabad,14,479,376,77,3,0,0,14,34.21,127.39
S Dhawan,2018,Sunrisers Hyderabad,16,497,363,92,4,0,2,16,31.06,136.91
S Dhawan,2019,Delhi Capitals,16,521,384,97,5,0,1,16,32.56,135.68
S Dhawan,2020,Delhi Capitals,17,618,427,106,4,2,4,17,36.35,144.73
S Dhawan,2021,Delhi Capitals,16,587,473,92,3,0,0,16,36.69,124.1
S Dhawan,2022,Punjab Kings,14,460,375,88,3,0,0,14,32.86,122.67
S Dhawan,2023,Punjab Kings,11,373,261,99,3,0,1,11,33.91,142.91
S Dhawan,2024,Punjab Kings,5,152,121,70,1,0,0,5,30.4,125.62
S Dube,2019,Royal Challengers Bangalore,4,40,33,24,0,0,0,4,10.0,121.21
S Dube,2020,Royal Challengers Bangalore,9,129,105,27,0,0,0,9,14.33,122.86
S Dube,2021,Rajasthan Royals,9,230,193,64,1,0,0,9,25.56,119.17
S Dube,2022,Chennai Super Kings,11,289,185,95,2,0,1,11,26.27,156.22
S Dube,2023,Chennai Super Kings,14,418,264,52,3,0,0,14,29.86,158.33
S Dube,2024,Chennai Super Kings,14,396,244,66,3,0,2,14,28.29,162.3
S Dube,2025,Chennai Super Kings,14,357,270,50,1,0,0,14,25.5,132.22
S Gopal,2014,Mumbai Indians,1,11,10,11,0,0,0,1,11.0,110.0
S Gopal,2015,Mumbai Indians,1,1,1,1,0,0,0,1,1.0,100.0
S Gopal,2016,Mumbai Indians,1,2,16,2,0,0,0,1,2.0,12.5
S Gopal,2018,Rajasthan Royals,4,50,45,24,0,0,1,4,12.5,111.11
S Gopal,2019,Rajasthan Royals,7,63,46,19,0,0,2,7,9.0,136.96
S Gopal,2020,Rajasthan Royals,5,37,39,23,0,0,0,5,7.4,94.87
S Gopal,2021,Rajasthan Royals,2,7,5,7,0,0,1,2,3.5,140.0
S Gopal,2022,Sunrisers Hyderabad,1,9,7,9,0,0,0,1,9.0,128.57
S Kaul,2013,Delhi Daredevils,1,7,9,7,0,0,0,1,7.0,77.78
S Kaul,2014,Delhi Daredevils,1,2,2,2,0,0,0,1,2.0,100.0
S Kaul,2017,Sunrisers Hyderabad,1,0,2,0,0,0,1,1,0.0,0.0
S Kaul,2018,Sunrisers Hyderabad,3,3,14,2,0,0,1,3,1.0,21.43
S Kaul,2019,Sunrisers Hyderabad,1,0,1,0,0,0,1,1,0.0,0.0
S Kaul,2021,Sunrisers Hyderabad,2,8,8,7,0,0,0,2,4.0,100.0
S Kaushik,2016,Gujarat Lions,1,0,1,0,0,0,1,1,0.0,0.0
S Ladda,2009,Delhi Daredevils,2,0,9,0,0,0,2,2,0.0,0.0
S Lamichhane,2019,Delhi Capitals,1,0,1,0,0,0,1,1,0.0,0.0
S Nadeem,2011,Delhi Daredevils,1,0,1,0,0,0,1,1,0.0,0.0
S Nadeem,2012,Delhi Daredevils,1,0,2,0,0,0,1,1,0.0,0.0
S Nadeem,2013,Delhi Daredevils,6,14,27,6,0,0,2,6,2.33,51.85
S Nadeem,2014,Delhi Daredevils,3,7,19,3,0,0,0,3,2.33,36.84
S Nadeem,2015,Delhi Daredevils,1,2,7,2,0,0,0,1,2.0,28.57
S Nadeem,2016,Delhi Daredevils,1,1,5,1,0,0,0,1,1.0,20.0
S Nadeem,2017,Delhi Daredevils,3,2,9,2,0,0,2,3,0.67,22.22
S Nadeem,2018,Delhi Daredevils,1,6,8,6,0,0,0,1,6.0,75.0
S Nadeem,2020,Sunrisers Hyderabad,2,7,8,5,0,0,0,2,3.5,87.5
S Nadeem,2021,Sunrisers Hyderabad,1,0,1,0,0,0,1,1,0.0,0.0
S Narwal,2009,Rajasthan Royals,3,14,12,12,0,0,1,3,4.67,116.67
S Narwal,2013,Kolkata Knight Riders,1,23,15,23,0,0,0,1,23.0,153.33
S Rana,2011,Pune Warriors,1,18,16,18,0,0,0,1,18.0,112.5
S Rana,2014,Royal Challengers Bangalore,7,73,65,19,0,0,0,7,10.43,112.31
S Randiv,2011,Chennai Super Kings,1,2,4,2,0,0,0,1,2.0,50.0
S Sohal,2007,Kings XI Punjab,2,4,8,4,0,0,1,2,2.0,50.0
S Sohal,2009,Kings XI Punjab,8,115,93,43,0,0,1,8,14.38,123.66
S Sohal,2011,Deccan Chargers,10,249,191,62,2,0,1,10,24.9,130.37
S Sreesanth,2007,Kings XI Punjab,2,0,3,0,0,0,2,2,0.0,0.0
S Sreesanth,2009,Kings XI Punjab,5,32,39,15,0,0,1,5,6.4,82.05
S Sreesanth,2011,Kochi Tuskers Kerala,3,1,9,1,0,0,2,3,0.33,11.11
S Sreesanth,2013,Rajasthan Royals,2,1,4,1,0,0,1,2,0.5,25.0
S Sriram,2009,Royal Challengers Bangalore,1,27,29,27,0,0,0,1,27.0,93.1
S Sriram,2011,Delhi Daredevils,1,4,7,4,0,0,0,1,4.0,57.14
S Tyagi,2009,Chennai Super Kings,1,3,4,3,0,0,0,1,3.0,75.0
S Vidyut,2007,Chennai Super Kings,8,145,109,54,1,0,1,8,18.12,133.03
SA Abbott,2015,Royal Challengers Bangalore,2,15,13,14,0,0,0,2,7.5,115.38
SA Abbott,2022,Sunrisers Hyderabad,1,7,5,7,0,0,0,1,7.0,140.0
SA Asnodkar,2007,Rajasthan Royals,9,311,233,60,2,0,0,9,34.56,133.48
SA Asnodkar,2009,Rajasthan Royals,9,103,97,44,0,0,2,9,11.44,106.19
SA Asnodkar,2011,Rajasthan Royals,1,9,9,9,0,0,0,1,9.0,100.0
SA Yadav,2012,Mumbai Indians,1,0,4,0,0,0,1,1,0.0,0.0
SA Yadav,2014,Kolkata Knight Riders,10,164,118,34,0,0,0,10,16.4,138.98
SA Yadav,2015,Kolkata Knight Riders,13,157,113,46,0,0,2,13,12.08,138.94
SA Yadav,2016,Kolkata Knight Riders,11,182,143,60,1,0,0,11,16.55,127.27
SA Yadav,2017,Kolkata Knight Riders,7,105,88,31,0,0,0,7,15.0,119.32
SA Yadav,2018,Mumbai Indians,14,512,384,72,4,0,1,14,36.57,133.33
SA Yadav,2019,Mumbai Indians,15,424,324,71,2,0,0,15,28.27,130.86
SA Yadav,2020,Mumbai Indians,15,480,331,79,4,0,2,15,32.0,145.02
SA Yadav,2021,Mumbai Indians,14,317,221,82,2,0,1,14,22.64,143.44
SA Yadav,2022,Mumbai Indians,8,303,208,68,3,0,0,8,37.88,145.67
SA Yadav,2023,Mumbai Indians,16,605,334,103,5,1,1,16,37.81,181.14
SA Yadav,2024,Mumbai Indians,11,345,206,102,3,1,3,11,31.36,167.48
SA Yadav,2025,Mumbai Indians,16,717,427,73,5,0,0,16,44.81,167.92
SB Bangar,2007,Deccan Chargers,6,47,49,17,0,0,0,6,7.83,95.92
SB Bangar,2009,Kolkata Knight Riders,1,2,9,2,0,0,0,1,2.0,22.22
SB Dubey,2024,Rajasthan Royals,3,33,19,25,0,0,1,3,11.0,173.68
SB Dubey,2025,Rajasthan Royals,8,106,66,34,0,0,0,8,13.25,160.61
SB Jakati,2009,Chennai Super Kings,2,20,15,13,0,0,0,2,10.0,133.33
SB Jakati,2012,Chennai Super Kings,2,7,12,6,0,0,0,2,3.5,58.33
SB Jakati,2016,Gujarat Lions,1,1,2,1,0,0,0,1,1.0,50.0
SB Joshi,2007,Royal Challengers Bangalore,2,6,14,3,0,0,0,2,3.0,42.86
SB Styris,2007,Deccan Chargers,8,112,123,36,0,0,0,8,14.0,91.06
SB Styris,2009,Deccan Chargers,1,14,8,14,0,0,0,1,14.0,175.0
SB Styris,2011,Chennai Super Kings,1,5,2,5,0,0,0,1,5.0,250.0
SB Wagh,2011,Pune Warriors,2,2,3,2,0,0,1,2,1.0,66.67
SC Ganguly,2007,Kolkata Knight Riders,13,349,307,91,3,0,0,13,26.85,113.68
SC Ganguly,2009,Kolkata Knight Riders,25,682,626,88,4,0,3,25,27.28,108.95
SC Ganguly,2011,Pune Warriors,3,50,59,32,0,0,1,3,16.67,84.75
SC Ganguly,2012,Pune Warriors,15,268,271,45,0,0,0,15,17.87,98.89
SD Chitnis,2007,Mumbai Indians,2,18,10,15,0,0,0,2,9.0,180.0
SD Chitnis,2009,Rajasthan Royals,1,6,8,6,0,0,0,1,6.0,75.0
SD Chitnis,2011,Kings XI Punjab,1,9,9,9,0,0,0,1,9.0,100.0
SD Chitnis,2012,Kings XI Punjab,4,66,62,38,0,0,0,4,16.5,106.45
SD Hope,2024,Delhi Capitals,9,183,122,41,0,0,0,9,20.33,150.0
SD Lad,2019,Mumbai Indians,1,15,13,15,0,0,0,1,15.0,115.38
SE Bond,2009,Kolkata Knight Riders,1,1,2,1,0,0,0,1,1.0,50.0
SE Marsh,2007,Kings XI Punjab,11,616,441,115,5,1,0,11,56.0,139.68
SE Marsh,2009,Kings XI Punjab,4,147,114,88,2,0,1,4,36.75,128.95
SE Marsh,2011,Kings XI Punjab,13,504,344,95,4,0,0,13,38.77,146.51
SE Marsh,2012,Kings XI Punjab,13,336,280,68,2,0,0,13,25.85,120.0
SE Marsh,2013,Kings XI Punjab,8,300,249,77,3,0,0,8,37.5,120.48
SE Marsh,2014,Kings XI Punjab,2,70,52,40,0,0,0,2,35.0,134.62
SE Marsh,2015,Kings XI Punjab,4,93,63,77,1,0,0,4,23.25,147.62
SE Marsh,2016,Kings XI Punjab,6,159,134,56,1,0,0,6,26.5,118.66
SE Marsh,2017,Kings XI Punjab,8,264,194,84,2,0,0,8,33.0,136.08
SE Rutherford,2019,Delhi Capitals,7,73,54,28,0,0,0,7,10.43,135.19
SE Rutherford,2022,Royal Challengers Bangalore,2,33,50,28,0,0,0,2,16.5,66.0
SE Rutherford,2025,Gujarat Titans,11,291,185,46,0,0,1,11,26.45,157.3
SH Johnson,2024,Gujarat Titans,3,6,7,5,0,0,1,3,2.0,85.71
SH Johnson,2025,Kolkata Knight Riders,2,2,4,1,0,0,0,2,1.0,50.0
SJ Srivastava,2009,Kings XI Punjab,2,1,2,1,0,0,1,2,0.5,50.0
SJ Srivastava,2011,Kings XI Punjab,2,4,3,3,0,0,0,2,2.0,133.33
SK Raina,2007,Chennai Super Kings,14,421,295,55,3,0,0,14,30.07,142.71
SK Raina,2009,Chennai Super Kings,30,962,675,98,6,0,0,30,32.07,142.52
SK Raina,2011,Chennai Super Kings,16,438,325,73,4,0,1,16,27.38,134.77
SK Raina,2012,Chennai Super Kings,18,441,325,73,1,0,2,18,24.5,135.69
SK Raina,2013,Chennai Super Kings,17,548,365,100,4,1,3,17,32.24,150.14
SK Raina,2014,Chennai Super Kings,16,523,359,87,5,0,0,16,32.69,145.68
SK Raina,2015,Chennai Super Kings,17,374,305,62,2,0,1,17,22.0,122.62
SK Raina,2016,Gujarat Lions,15,399,312,75,3,0,0,15,26.6,127.88
SK Raina,2017,Gujarat Lions,14,442,307,84,3,0,0,14,31.57,143.97
SK Raina,2018,Chennai Super Kings,15,445,336,75,4,0,0,15,29.67,132.44
SK Raina,2019,Chennai Super Kings,17,383,314,59,3,0,1,17,22.53,121.97
SK Raina,2021,Chennai Super Kings,11,160,128,54,1,0,0,11,14.55,125.0
SK Rasheed,2025,Chennai Super Kings,5,71,63,27,0,0,1,5,14.2,112.7
SK Trivedi,2007,Rajasthan Royals,3,5,12,3,0,0,0,3,1.67,41.67
SK Trivedi,2009,Rajasthan Royals,7,29,32,9,0,0,1,7,4.14,90.62
SK Trivedi,2011,Rajasthan Royals,1,0,2,0,0,0,1,1,0.0,0.0
SK Trivedi,2012,Rajasthan Royals,1,5,6,5,0,0,0,1,5.0,83.33
SK Trivedi,2013,Rajasthan Royals,2,3,7,3,0,0,1,2,1.5,42.86
SK Warne,2007,Rajasthan Royals,7,70,59,22,0,0,1,7,10.0,118.64
SK Warne,2009,Rajasthan Royals,16,118,135,34,0,0,3,16,7.38,87.41
SK Warne,2011,Rajasthan Royals,4,10,20,5,0,0,1,4,2.5,50.0
SL Malinga,2009,Mumbai Indians,2,1,2,1,0,0,1,2,0.5,50.0
SL Malinga,2011,Mumbai Indians,2,8,9,7,0,0,0,2,4.0,88.89
SL Malinga,2012,Mumbai Indians,6,55,53,17,0,0,1,6,9.17,103.77
SL Malinga,2013,Mumbai Indians,6,9,18,7,0,0,3,6,1.5,50.0
SL Malinga,2014,Mumbai Indians,1,2,4,2,0,0,0,1,2.0,50.0
SL Malinga,2015,Mumbai Indians,1,6,10,6,0,0,0,1,6.0,60.0
SL Malinga,2017,Mumbai Indians,2,7,3,7,0,0,1,2,3.5,233.33
SM Curran,2019,Kings XI Punjab,8,95,55,55,1,0,2,8,11.88,172.73
SM Curran,2020,Chennai Super Kings,11,186,141,52,1,0,2,11,16.91,131.91
SM Curran,2021,Chennai Super Kings,4,56,29,34,0,0,0,4,14.0,193.1
SM Curran,2023,Punjab Kings,13,276,203,55,1,0,0,13,21.23,135.96
SM Curran,2024,Punjab Kings,12,270,219,63,2,0,1,12,22.5,123.29
SM Curran,2025,Chennai Super Kings,5,114,84,88,1,0,0,5,22.8,135.71
SM Harwood,2009,Rajasthan Royals,2,9,14,6,0,0,0,2,4.5,64.29
SM Katich,2007,Kings XI Punjab,2,96,69,75,1,0,0,2,48.0,139.13
SM Katich,2009,Kings XI Punjab,9,145,117,50,1,0,1,9,16.11,123.93
SM Pollock,2007,Mumbai Indians,8,147,111,33,0,0,2,8,18.38,132.43
SMSM Senanayake,2013,Kolkata Knight Riders,4,10,17,7,0,0,1,4,2.5,58.82
SN Khan,2015,Royal Challengers Bangalore,7,111,71,45,0,0,0,7,15.86,156.34
SN Khan,2016,Royal Challengers Bangalore,4,66,31,35,0,0,0,4,16.5,212.9
SN Khan,2018,Royal Challengers Bangalore,6,51,41,22,0,0,1,6,8.5,124.39
SN Khan,2019,Kings XI Punjab,5,180,143,67,1,0,0,5,36.0,125.87
SN Khan,2020,Kings XI Punjab,3,33,29,14,0,0,0,3,11.0,113.79
SN Khan,2021,Punjab Kings,2,0,4,0,0,0,2,2,0.0,0.0
SN Khan,2022,Delhi Capitals,5,91,67,36,0,0,0,5,18.2,135.82
SN Khan,2023,Delhi Capitals,4,53,62,30,0,0,0,4,13.25,85.48
SN Thakur,2015,Kings XI Punjab,1,7,6,7,0,0,0,1,7.0,116.67
SN Thakur,2017,Rising Pune Supergiant,3,0,3,0,0,0,3,3,0.0,0.0
SN Thakur,2018,Chennai Super Kings,1,15,5,15,0,0,0,1,15.0,300.0
SN Thakur,2019,Chennai Super Kings,2,14,7,12,0,0,0,2,7.0,200.0
SN Thakur,2020,Chennai Super Kings,2,12,21,11,0,0,0,2,6.0,57.14
SN Thakur,2021,Chennai Super Kings,4,5,5,3,0,0,1,4,1.25,100.0
SN Thakur,2022,Delhi Capitals,10,120,87,29,0,0,0,10,12.0,137.93
SN Thakur,2023,Kolkata Knight Riders,9,113,70,68,1,0,2,9,12.56,161.43
SN Thakur,2024,Chennai Super Kings,3,21,17,17,0,0,0,3,7.0,123.53
SN Thakur,2025,Lucknow Super Giants,5,18,12,6,0,0,1,5,3.6,150.0
SO Hetmyer,2019,Royal Challengers Bangalore,5,90,73,75,1,0,1,5,18.0,123.29
SO Hetmyer,2020,Delhi Capitals,11,185,125,45,0,0,0,11,16.82,148.0
SO Hetmyer,2021,Delhi Capitals,12,242,144,53,1,0,1,12,20.17,168.06
SO Hetmyer,2022,Rajasthan Royals,15,314,204,59,1,0,0,15,20.93,153.92
SO Hetmyer,2023,Rajasthan Royals,13,299,197,56,1,0,0,13,23.0,151.78
SO Hetmyer,2024,Rajasthan Royals,9,113,69,27,0,0,1,9,12.56,163.77
SO Hetmyer,2025,Rajasthan Royals,13,245,168,52,1,0,1,13,18.85,145.83
SP Fleming,2007,Chennai Super Kings,10,196,165,45,0,0,1,10,19.6,118.79
SP Goswami,2007,Royal Challengers Bangalore,3,82,85,52,1,0,0,3,27.33,96.47
SP Goswami,2009,Royal Challengers Bangalore,3,61,70,43,0,0,0,3,20.33,87.14
SP Goswami,2011,Kolkata Knight Riders,4,29,29,22,0,0,1,4,7.25,100.0
SP Goswami,2012,Rajasthan Royals,6,69,67,24,0,0,1,6,11.5,102.99
SP Goswami,2018,Sunrisers Hyderabad,3,52,40,35,0,0,0,3,17.33,130.0
SP Goswami,2020,Sunrisers Hyderabad,2,0,4,0,0,0,2,2,0.0,0.0
SP Jackson,2017,Kolkata Knight Riders,3,38,31,16,0,0,0,3,12.67,122.58
SP Jackson,2022,Kolkata Knight Riders,5,23,26,8,0,0,1,5,4.6,88.46
SP Narine,2012,Kolkata Knight Riders,2,9,7,9,0,0,1,2,4.5,128.57
SP Narine,2013,Kolkata Knight Riders,6,21,19,13,0,0,0,6,3.5,110.53
SP Narine,2014,Kolkata Knight Riders,4,10,14,6,0,0,0,4,2.5,71.43
SP Narine,2015,Kolkata Knight Riders,1,0,1,0,0,0,1,1,0.0,0.0
SP Narine,2016,Kolkata Knight Riders,3,7,13,4,0,0,0,3,2.33,53.85
SP Narine,2017,Kolkata Knight Riders,14,224,130,54,1,0,2,14,16.0,172.31
SP Narine,2018,Kolkata Knight Riders,16,357,188,75,2,0,0,16,22.31,189.89
SP Narine,2019,Kolkata Knight Riders,8,143,86,47,0,0,0,8,17.88,166.28
SP Narine,2020,Kolkata Knight Riders,9,121,85,64,1,0,2,9,13.44,142.35
SP Narine,2021,Kolkata Knight Riders,10,62,47,26,0,0,4,10,6.2,131.91
SP Narine,2022,Kolkata Knight Riders,9,71,40,22,0,0,2,9,7.89,177.5
SP Narine,2023,Kolkata Knight Riders,10,21,25,7,0,0,4,10,2.1,84.0
SP Narine,2024,Kolkata Knight Riders,14,488,270,109,3,1,1,14,34.86,180.74
SP Narine,2025,Kolkata Knight Riders,12,246,144,44,0,0,1,12,20.5,170.83
SPD Smith,2012,Pune Warriors,14,362,267,47,0,0,0,14,25.86,135.58
SPD Smith,2013,Pune Warriors,7,159,132,41,0,0,0,7,22.71,120.45
SPD Smith,2014,Rajasthan Royals,7,152,113,48,0,0,0,7,21.71,134.51
SPD Smith,2015,Rajasthan Royals,12,298,223,79,2,0,0,12,24.83,133.63
SPD Smith,2016,Rising Pune Supergiants,7,270,176,101,0,1,0,7,38.57,153.41
SPD Smith,2017,Rising Pune Supergiant,15,472,387,84,3,0,0,15,31.47,121.96
SPD Smith,2019,Rajasthan Royals,10,319,275,73,3,0,0,10,31.9,116.0
SPD Smith,2020,Rajasthan Royals,14,311,237,69,3,0,0,14,22.21,131.22
SPD Smith,2021,Delhi Capitals,7,152,135,39,0,0,0,7,21.71,112.59
SR Tendulkar,2007,Mumbai Indians,7,188,177,65,1,0,1,7,26.86,106.21
SR Tendulkar,2009,Mumbai Indians,28,982,769,89,7,0,1,28,35.07,127.7
SR Tendulkar,2011,Mumbai Indians,16,553,488,100,2,1,0,16,34.56,113.32
SR Tendulkar,2012,Mumbai Indians,13,324,283,74,2,0,1,13,24.92,114.49
SR Tendulkar,2013,Mumbai Indians,14,287,231,54,1,0,1,14,20.5,124.24
SR Watson,2007,Rajasthan Royals,15,472,311,76,4,0,1,15,31.47,151.77
SR Watson,2009,Rajasthan Royals,5,185,114,60,2,0,0,5,37.0,162.28
SR Watson,2011,Rajasthan Royals,11,330,253,89,1,0,0,11,30.0,130.43
SR Watson,2012,Rajasthan Royals,7,255,168,90,2,0,0,7,36.43,151.79
SR Watson,2013,Rajasthan Royals,16,543,380,101,2,1,0,16,33.94,142.89
SR Watson,2014,Rajasthan Royals,13,246,199,51,2,0,1,13,18.92,123.62
SR Watson,2015,Rajasthan Royals,9,347,258,104,1,1,0,9,38.56,134.5
SR Watson,2016,Royal Challengers Bangalore,15,179,134,36,0,0,1,15,11.93,133.58
SR Watson,2017,Royal Challengers Bangalore,7,71,78,24,0,0,0,7,10.14,91.03
SR Watson,2018,Chennai Super Kings,15,555,359,117,2,2,1,15,37.0,154.6
SR Watson,2019,Chennai Super Kings,17,398,312,96,3,0,3,17,23.41,127.56
SR Watson,2020,Chennai Super Kings,11,299,247,83,2,0,0,11,27.18,121.05
SS Cottrell,2020,Kings XI Punjab,1,0,2,0,0,0,1,1,0.0,0.0
SS Iyer,2015,Delhi Daredevils,14,439,342,83,4,0,2,14,31.36,128.36
SS Iyer,2016,Delhi Daredevils,6,30,43,19,0,0,3,6,5.0,69.77
SS Iyer,2017,Delhi Daredevils,12,338,243,96,2,0,0,12,28.17,139.09
SS Iyer,2018,Delhi Daredevils,13,411,310,93,4,0,0,13,31.62,132.58
SS Iyer,2019,Delhi Capitals,16,467,388,67,3,0,0,16,29.19,120.36
SS Iyer,2020,Delhi Capitals,17,519,421,88,3,0,0,17,30.53,123.28
SS Iyer,2021,Delhi Capitals,8,175,171,47,0,0,0,8,21.88,102.34
SS Iyer,2022,Kolkata Knight Riders,14,401,298,85,3,0,0,14,28.64,134.56
SS Iyer,2024,Kolkata Knight Riders,14,351,239,58,2,0,1,14,25.07,146.86
SS Iyer,2025,Punjab Kings,17,604,345,97,6,0,1,17,35.53,175.07
SS Prabhudessai,2022,Royal Challengers Bangalore,5,67,59,34,0,0,0,5,13.4,113.56
SS Prabhudessai,2023,Royal Challengers Bangalore,4,35,29,19,0,0,1,4,8.75,120.69
